,Lastupdated,Status_Timestamp,Zone_Number,Status_Description,Parkingbay_ID,Latitude,Longitude,Area of Interest
1192,2023-10-10T21:20:20+11:00,2023-10-10T20:46:15+11:00,7360,Unoccupied,61744,-37.81395954,144.97204275988818,On Street Parking
1193,2023-10-10T21:20:20+11:00,2023-10-10T20:12:27+11:00,7183,Unoccupied,18542,-37.82035589,144.9494046837532,On Street Parking
1194,2023-10-10T21:20:20+11:00,2023-10-10T19:11:36+11:00,7183,Present,18558,-37.81998414,144.95129771110098,On Street Parking
1195,2023-10-10T21:20:20+11:00,2023-10-10T17:55:24+11:00,7163,Present,18588,-37.81914482,144.9484106249023,On Street Parking
1196,2023-10-10T21:20:20+11:00,2023-10-10T19:37:55+11:00,7163,Present,18573,-37.81921817,144.94862665826858,On Street Parking
1197,2023-10-10T21:20:20+11:00,2023-10-10T19:04:13+11:00,7824,Present,13220,-37.82168248,144.96642219044287,On Street Parking
1198,2023-10-10T21:20:20+11:00,2023-10-10T21:09:46+11:00,7823,Present,13227,-37.82148252,144.96628754209237,On Street Parking
1199,2023-10-10T21:20:20+11:00,2023-10-10T19:41:25+11:00,7184,Unoccupied,20895,-37.82120637,144.9470704593674,On Street Parking
1200,2023-10-10T21:20:20+11:00,2023-10-10T17:25:54+11:00,7184,Unoccupied,20897,-37.82111064,144.94678607737143,On Street Parking
1201,2023-10-10T21:20:20+11:00,2023-10-10T20:54:05+11:00,7184,Unoccupied,20898,-37.82109207,144.94685004085812,On Street Parking
1202,2023-10-10T21:20:20+11:00,2023-10-10T19:25:05+11:00,7186,Present,18631,-37.8211263,144.94372360496828,On Street Parking
1203,2023-10-10T21:20:20+11:00,2023-10-10T20:51:03+11:00,7186,Present,18628,-37.82107941,144.94352789869123,On Street Parking
1204,2023-10-10T21:20:20+11:00,2023-10-10T20:05:48+11:00,7186,Present,18629,-37.82109504,144.94359313370973,On Street Parking
